"Kategorie A";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"TKOCZ";"Anna";"Kulok peel patch";0;0;44;0;46
"Vyèítalová ";"Jana";"ACS Drak Vrbno";60;0;48;0;44
;;;;;;;
"Kategorie M";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"BROKEŠ";"Rostislav";"Mapei Cyklo Kaòkovský";0;0;55;0;0
"Fierla";"Jan";"CK Feso Petøvald";46;56;33;42;0
"Fišer";"Aleš";"CK Orlík Orlová";0;46;0;0;50
"Glogovský";"Daniel";"CK Feso Petøvald";"DNF";54;36;0;0
"Glombek";"Štìpán";"TJ TŽ Tøinec";0;50;0;55;60
"Gubala";"Petr";"Kolík& Hobby ""C""";0;0;0;0;48
"GUZY";"Robert";"Mykesz Team";0;0;32;0;0
"Heczko";"Filip";"TJ TŽ Tøinec";0;70;0;0;0
"HEØMANOVSKÝ";"Tomáš";"TJ Unièov";0;0;"DNF";0;0
"Hrachovina";"Eduard";"CK Feso Petøvald";50;0;60;0;0
"HYNEK";"Matouš";"SK Tufo Prostìjov";0;0;50;0;0
"Konderla";"Luboš";"TJ TŽ TØINEC";0;52;31;0;0
"Kreveta";"Jakub";"Cyklo Mapei Kaòkovský";0;0;0;48;0
"Krhut";"Jan";"Triatlon klub Ostrava";0;65;0;0;0
"Køístek";"Martin";"YOGI Racing Ostrava 2";0;47;0;0;0
"Mrázek";"Lukáš";"Atom Bike Trek For Bikes";42;0;0;0;0
"Kubièík";"Filip";"Cyklistika pro všechny Krnov";44;0;35;44;55
"LOVEÈEK";"Adam";"Mapei Cyklo Kaòkovský";0;0;34;0;0
"NERUŠIL";"Jan";"TJ Unièov";0;0;30;0;0
